1; ADDRESS;What’s your address?
2; AFTERNOON;I usually watch TV in the afternoon;
3; AIRPLANE;I traveled to São Paulo by airplane;
4; AIRPORT;Salgado Filho is an airport;
5; APPLE;This is an apple pie;
6; ARMS;Shake your arms!
7; ART;I love Art classes!
8; ARTIST;Romero Britto is a famous artist;
9; ATHLETIC;Soccer players are very athletic;
10; AVOCADO;My favorite fruit is avocado;
11; BACKYARD;The dog is in the backyard;
12; BARBECUE;We eat barbecue on Sundays;
13; BASKETBALL;I play basketball with my friends;
14; BATHROOM;I take a shower in the bathroom;
15; BEANS;I like black beans;
16; BEAR;I saw a brown bear in the zoo;
17; BEDROOM;I sleep in my bedroom;
18; BEST;Who is your best friend?
19; BICYCLE;My bicycle is red;
20; BIG;São Paulo is a big city;
21; BIKE;Can you ride a bike?
22; BIRD;There is a bird over there! Look!
23; BIRTHDAY;My birthday is on September 6th;
24; BLOND;My brother has blond hair;
25; BLOUSE;This blouse is beautiful!
26; BLUE;Hannah’s car is blue;
27; BOARD;Look at the board!
28; BODY;Arms and legs are parts of the human body;
29; BORED;I’m bored! Let’s go out!
30; BOX;What is in this box?
31; BREAD;I often buy bread rolls at that bakery on the corner;
32; BREAKFAST;We have breakfast at about 8:00 am;
33; BRITISH;My uncle is British;
34; BROTHER;Jonas is Julia’s brother;
35; BROWN;My hair is brown;
36; BRUSH;Remember to brush your teeth!
37; BUS;I go to school by bus;
38; BUTTERFLY;That butterfly is orange and yellow;
39; BYE;I’m going, Mom! Bye!
40; CABINET;There is a cabinet in the kitchen;
41; CAFETERIA;Let’s go to the cafeteria after school!
42; CAKE;I love chocolate cake!
43; CALCULATOR;Can you lend me your calculator?
44; CANADA;Toronto is a city in Canada;
45; CANDY;There is a candy shop next to my house;
46; CAR;I can’t drive a car;
47; CARROT;I don’t like carrot cake;
48; CARTOON;SpongeBob is my favorite cartoon;
49; CASTLE;I visited a castle in Scotland on my last vacation;
50; CAT;I have a gray cat;
51; CAVE;That cave is full of bats;
52; CHARACTER;Spider Man is a movie character;
53; CHICKEN;I’ll eat a chicken sandwich, please;
54; CHILD;I was a very happy child;
55; CHOCOLATE;I love chocolate!
56; CITY;I don’t live in a big city;
57; CLASSMATE;Gregory is my classmate;
58; CLOCK;My Grandma has a German clock;
59; CLOUDY;It is cloudy outside;
60; COACH;My dad is a soccer coach;
61; COFFEE;Let’s drink some coffee;
62; COMPUTER;I enjoy playing computer games;
63; CONCERT;I went to that fantastic concert last month;
64; COOK;Can you cook well?
65; COUNTRY;Brazil is a country in South America;
66; COUSIN;Miguel is my favorite cousin;
67; COW;Look at that cow! It’s black and white;
68; CUPCAKE;I’ll buy a cupcake to take to school;
69; CURLY;He has curly hair;
70; CUTE;Your baby is so cute!
71; DAD;My dad is a tall man;
72; DANGEROUS;Snakes are very dangerous!
73; DAY;Friday is my favorite day of the week;
74; DESK;There is a pen on the desk;
75; DINNER;We usually have dinner at home;
76; DIVE;Can you dive?
77; DOLL;Barbie is a doll;
78; DOOR;Close the door, please!
79; DRAW;I can draw, but not very well;
80; DRESSER;There is a dresser in my mother’s bedroom;
81; DRINK;Do you drink a lot of water?
82; DRUGSTORE;We buy medicines at the drugstore;
83; DRUMS;Can you play the drums?
84; DUCK;Donald Duck is famous all over the world;
85; EASTER;Easter Bunny is a symbol of Easter;
86; EGG;We need an egg more to make the cake;
87; EIGHT;There are eight students in my English class;
88; ELEPHANT;There is an elephant in this zoo;
89; ENGINEER;My sister is an engineer;
90; ENGLAND;London is the capital of England;
91; ENGLISH;Can you speak English fluently?
92; ERASER;Can I borrow your eraser?
93; EVENING;Good evening, everybody!
94; EXPENSIVE;A new cell phone is very expensive!
95; EYES;I have brown eyes;
96; FAMILY;This is a photo of my family;
97; FARMER;The farmer is feeding the pigs;
98; FEBRUARY;February is a hot month in our country;
99; FEET;You have big feet!
100; FISH;Nemo is a fish;
101; FOURTEEN;I’m fourteen years old;
102; FRIENDLY;I like Sophia because she is very friendly;
