1, ABBREVIATIONS,CD and DVD are abbreviations in English, 
2, ABROAD , Would you like to study abroad? ,
3, ABSENCE,A week is a long absence in an English course, 
4, ABSENT,He was absent because he was sick, 
5, ACCENT,My father speaks English well, but he has a very strong accent, 
6, ACCIDENT , I met him by accident, 
7, ACCORDING,According to my teacher, I need to study hard, 
8, ACHIEVED,They achieved what they were waiting for, 
9, ACTIVELY , They were actively engaged in supporting the war effort, 
10, ADDITION , This painting would make a fine addition to the museum's collection, 
11, ADDRESS , I live in Porto Alegre, What`s your address? 
12, ADJECTIVES,Big, hard and good are examples of adjectives, 
13, ADMISSION , It's open daily and admission is free, 
14, ADVANCE , Course fees need to be paid in advance, 
15, ADVENTURE , Guatemala is a great place for an adventure vacation, 
16, AFFAIR,They had a love affair in the past, 
17, AFFECTIONATE,Dogs are really affectionate, 
18, AFFORDABLE,They offer affordable childcare in this city, 
19, AFTERNOON , My English class is in the afternoon, 
20, AGAINST,Stealing is against the law, 
21, AGE,I was at age 18 when I started college, 
22, AGGRESSIVE,Aggressive people use force to succeed and may fight or argue, 
23, AGREEMENT , Since we are all in agreement, let's proceed, 
24, AIRLINE,I like to fly with this airline company, 
25, AIRPORT,I'm going to the airport to catch a plane, 
26, ALLERGIC , I am allergic to chocolate and when I eat it, I feel sick, 
27, ALPHABET , Z is the last letter of the alphabet, 
28, ALTHOUGH,Although the room is big, it won't hold all that furniture, 
29, AMUSEMENT, It is exciting to go to an amusement park, 
30, ANGRY , You're not in the mood today, you look so angry! 
31, ANIMAL , The panda is an animal from China, 
32, ANKLE,My ankle is hurting, 
33, ANNOUNCEMENTS,The announcements of Coke are usually very interesting, 
34, ANSWER , Answer the questions on page 10, please, 
35, ANXIOUS , Don't be anxious about the test tomorrow, you studied a lot, 
36, ANYBODY,I didn't know anybody at the party, 
37, ANYWAY,I was tired but I went to the party anyway, 
38, APARTMENT,Do you live in a house or in an apartment? ,
39, APOLOGIZE,It's too late to apologize! ,
40, APPEARANCE,My grandfather and father have the same appearance and personality, 
41, APPETIZERS,Before the main course, we can eat the appetizers, 
